"SpecCode","Species","autoctr","StockCode","SpeedRefNo","Length","LengthType","SpeedLS","LengthTypeSpeed","Speedms","Mode","DataRef","Reliable","Comment","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","SLa","SLb","TS"
91,"Allothunnus fallai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,"Acanthostracion quadricornis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,"Auxis rochei",84,107,308,31,"SL",2.19,"SL",0.6789,"sustained",688,NA,"Lengths were transformed to SL in Ref. 308.",1,696729600,1,969408000,NA,NA,NA,NA,NA
94,"Auxis thazard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,"Cybiosarda elegans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"Euthynnus affinis",85,110,308,36,"SL",2.11,"SL",0.7596,"sustained",688,NA,"Lengths were transformed to SL in Ref. 308.",1,696729600,1,969408000,NA,NA,NA,NA,NA
96,"Euthynnus affinis",86,110,308,40,"SL",10,"SL",4,"burst",688,NA,"Lengths were transformed to SL in Ref. 308.",1,696729600,1,969408000,NA,NA,NA,NA,NA
96,"Euthynnus affinis",87,110,308,40,"SL",12.5,"SL",5,"burst",688,NA,"Lengths were transformed to SL in Ref. 308.",1,696729600,1,969408000,NA,NA,NA,NA,NA
97,"Euthynnus alletteratus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,"Euthynnus lineatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,"Alepisaurus ferox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,"Gasterochisma melampus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,"Alosa alosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,"Conger esculentus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,"Grammatorcynus bicarinatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,"Grammatorcynus bilineatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,"Alosa immaculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"Gymnosarda unicolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,"Katsuwonus pelamis",88,121,308,48,"SL",1.5,"SL",0.72,"sustained",688,NA,"Lengths were transformed to SL in Ref. 308.",1,696729600,1,969408000,NA,NA,NA,NA,NA
107,"Katsuwonus pelamis",89,121,308,38,"SL",1.55,"SL",0.589,"sustained",688,NA,"Lengths were transformed to SL in Ref. 308.",1,696729600,1,969408000,NA,NA,NA,NA,NA
107,"Katsuwonus pelamis",90,121,308,39,"SL",2.15,"SL",0.8385,"sustained",688,NA,"Lengths were transformed to SL in Ref. 308.",1,696729600,1,969408000,NA,NA,NA,NA,NA
107,"Katsuwonus pelamis",91,121,308,79,"SL",8.05,"SL",6.3595,"burst",688,NA,"Lengths were transformed to SL in Ref. 308.",1,696729600,1,969408000,NA,NA,NA,NA,NA
107,"Katsuwonus pelamis",92,121,308,48,"SL",14.3,"SL",6.864,"burst",688,NA,"Lengths were transformed to SL in Ref. 308.",1,696729600,1,969408000,NA,NA,NA,NA,NA
107,"Katsuwonus pelamis",93,121,308,48,"SL",19.6,"SL",9.408,"burst",688,NA,"Lengths were transformed to SL in Ref. 308.",1,696729600,1,969408000,NA,NA,NA,NA,NA
108,"Orcynopsis unicolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,"Rastrelliger brachysoma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,"Rastrelliger faughni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,"Rastrelliger kanagurta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,"Sarda australis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,"Sarda chiliensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,"Sarda orientalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,"Sarda sarda",94,129,308,16,"SL",2.18,"SL",0.3488,"sustained",688,NA,"Lengths were transformed to SL in Ref. 308.",1,696729600,1,969408000,NA,NA,NA,NA,NA
115,"Sarda sarda",95,129,308,14,"SL",8.58,"SL",1.2012,"burst",688,NA,"Lengths were transformed to SL in Ref. 308.",1,696729600,1,969408000,NA,NA,NA,NA,NA
116,"Scomber australasicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,"Scomber japonicus",96,131,308,34,"SL",2.7,"SL",0.918,"sustained",498,NA,"Lengths were transformed to SL in Ref. 308.",1,696729600,1,969408000,NA,NA,0,0.82,NA
117,"Scomber japonicus",97,131,308,27,"SL",8.35,"SL",2.2545,"burst",3600,NA,"Lengths were transformed to SL in Ref. 308.",1,696729600,3,1048809600,NA,NA,0,0.82,NA
118,"Scomber scombrus",98,132,308,32,"SL",0.87,"SL",0.2784,"sustained",688,NA,"Lengths were transformed to SL in Ref. 308.",1,696729600,1,969408000,NA,NA,0,0.84,NA
118,"Scomber scombrus",99,132,308,30,"SL",3.27,"SL",0.981,"sustained",499,NA,"Lengths were transformed to SL in Ref. 308.",1,696729600,1,969408000,NA,NA,0,0.84,NA
118,"Scomber scombrus",100,132,308,32,"SL",6.32,"SL",2.0224,"sustained",500,NA,"Lengths were transformed to SL in Ref. 308.",1,696729600,1,969408000,NA,NA,0,0.84,NA
118,"Scomber scombrus",101,132,308,38,"SL",7.99,"SL",3.0362,"burst",684,NA,"Lengths were transformed to SL in Ref. 308.",1,696729600,1,969408000,NA,NA,0,0.84,NA
118,"Scomber scombrus",102,132,308,33,"SL",8.98,"SL",2.9634,"burst",684,NA,"Lengths were transformed to SL in Ref. 308.",1,696729600,1,969408000,NA,NA,0,0.84,NA
118,"Scomber scombrus",103,132,308,30,"SL",18,"SL",5.4,"burst",499,NA,"Lengths were transformed to SL in Ref. 308.",1,696729600,1,969408000,NA,NA,0,0.84,NA
118,"Scomber scombrus",104,132,3499,25,"TL",3.2,"TL",0.81,"sustained",3511,NA,"25.2 g, fish at 81 cm/sec.",22,705888000,1,780710400,NA,NA,0,0.84,NA
119,"Scomberomorus brasiliensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,"Scomberomorus cavalla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,"Scomberomorus commerson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,"Scomberomorus concolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,"Scomberomorus guttatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,"Scomberomorus koreanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,"Scomberomorus lineolatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,"Scomberomorus maculatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,"Apogonichthyoides taeniatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,"Scomberomorus multiradiatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,"Scomberomorus munroi",105,143,4680,NA,NA,NA,NA,20.8,"burst",NA,NA,"Check Ref. 4687 for mode of swimming.",3,715392000,NA,780710400,NA,NA,NA,NA,NA
130,"Argyropelecus aculeatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,"Scomberomorus niphonius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,"Scomberomorus plurilineatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,"Scomberomorus queenslandicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,"Scomberomorus regalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,"Scomberomorus semifasciatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,"Scomberomorus sierra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,"Scomberomorus sinensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,"Somniosus microcephalus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,"Squalus acanthias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"Pseudobatos percellens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,"Scomberomorus tritor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,"Thunnus alalunga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,"Thunnus albacares",106,157,308,87,"SL",0.57,"SL",0.4959,"sustained",688,NA,"Lengths were transformed to SL in Ref. 308.",1,696729600,1,969408000,NA,NA,NA,NA,NA
143,"Thunnus albacares",107,157,308,84,"SL",0.77,"SL",0.6468,"sustained",688,NA,"Lengths were transformed to SL in Ref. 308.",1,696729600,1,969408000,NA,NA,NA,NA,NA
143,"Thunnus albacares",108,157,308,35,"SL",1.31,"SL",0.4585,"sustained",688,NA,"Lengths were transformed to SL in Ref. 308.",1,696729600,1,969408000,NA,NA,NA,NA,NA
143,"Thunnus albacares",109,157,308,62,"SL",8.4,"SL",5.208,"burst",688,NA,"Lengths were transformed to SL in Ref. 308.",1,696729600,1,969408000,NA,NA,NA,NA,NA
143,"Thunnus albacares",110,157,308,66,"SL",18.8,"SL",12.408,"burst",688,NA,"Lengths were transformed to SL in Ref. 308.",1,696729600,1,969408000,NA,NA,NA,NA,NA
143,"Thunnus albacares",111,157,308,66,"SL",31,"SL",20.46,"burst",688,NA,"Lengths were transformed to SL in Ref. 308.",1,696729600,1,969408000,NA,NA,NA,NA,NA
144,"Thunnus atlanticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,"Thunnus maccoyii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,"Thunnus obesus",112,160,308,55,"SL",1.09,"SL",0.5995,"sustained",688,NA,"Lengths were transformed to SL in Ref. 308.",1,696729600,1,969408000,NA,NA,NA,NA,NA
